Package,Built
abind,3.5.0
acepack,3.5.0
afex,3.5.0
aplore3,3.5.0
aplpack,3.5.0
arm,3.5.0
assertive,3.5.0
assertive.base,3.5.0
assertive.code,3.5.0
assertive.data,3.5.0
assertive.data.uk,3.5.0
assertive.data.us,3.5.0
assertive.datetimes,3.5.0
assertive.files,3.5.0
assertive.matrices,3.5.0
assertive.models,3.5.0
assertive.numbers,3.5.0
assertive.properties,3.5.0
assertive.reflection,3.5.0
assertive.sets,3.5.0
assertive.strings,3.5.0
assertive.types,3.5.0
assertthat,3.5.0
babynames,3.5.2
backports,3.5.0
base64enc,3.5.0
bayesplot,3.5.0
bestglm,3.5.0
BH,3.5.2
bindr,3.5.0
bindrcpp,3.5.0
bitops,3.5.0
bookdown,3.5.1
bridgesampling,3.5.0
brms,3.5.0
Brobdingnag,3.5.0
broom,3.5.0
callr,3.5.1
car,3.5.0
carData,3.5.0
caTools,3.5.0
cellranger,3.5.0
checkmate,3.5.2
classInt,3.5.0
cli,3.5.0
clipr,3.5.2
clisymbols,3.5.0
cmprsk,3.5.0
coda,3.5.0
coin,3.5.0
colorspace,3.5.2
colourpicker,3.5.0
cowplot,3.5.2
crayon,3.5.0
crosstalk,3.5.0
curl,3.5.2
data.table,3.5.2
DBI,3.5.0
dbplyr,3.5.2
debugme,3.5.0
DEoptimR,3.5.0
desc,3.5.0
devtools,3.5.2
dichromat,3.5.0
digest,3.5.0
dplyr,3.5.0
DT,3.5.0
dygraphs,3.5.0
e1071,3.5.0
emmeans,3.5.0
enc,3.5.0
Epi,3.5.0
estimability,3.5.0
etm,3.5.0
evaluate,3.5.0
exactRankTests,3.5.0
ez,3.5.0
fansi,3.5.0
faraway,3.5.0
fivethirtyeight,3.5.0
forcats,3.5.0
foreach,3.5.0
Formula,3.5.0
fs,3.5.0
gapminder,3.5.0
gdata,3.5.0
gee,3.5.0
geepack,3.5.0
generics,3.5.0
GGally,3.5.0
ggdendro,3.5.0
ggformula,3.5.2
ggplot2,3.5.0
ggpubr,3.5.0
ggrepel,3.5.0
ggridges,3.5.0
ggsci,3.5.0
ggsignif,3.5.0
ggstance,3.5.0
ggthemes,3.5.0
gh,3.5.0
git2r,3.5.2
glmnet,3.5.0
glue,3.5.0
gmodels,3.5.0
gower,3.5.0
gplots,3.5.0
gridExtra,3.5.0
grpreg,3.5.0
gtable,3.5.0
gtools,3.5.0
haven,3.5.0
here,3.5.0
highr,3.5.0
Hmisc,3.5.0
hms,3.5.0
HSAUR,3.5.0
htmlTable,3.5.2
htmltools,3.5.0
htmlwidgets,3.5.0
httpuv,3.5.0
httr,3.5.0
igraph,3.5.0
infer,3.5.0
ini,3.5.0
inline,3.5.0
iterators,3.5.0
jomo,3.5.0
jsonlite,3.5.0
km.ci,3.5.0
KMsurv,3.5.0
knitr,3.5.2
labeling,3.5.0
labelled,3.5.0
lars,3.5.0
later,3.5.0
latticeExtra,3.5.0
lazyeval,3.5.0
leaflet,3.5.0
leaps,3.5.0
lme4,3.5.0
lmerTest,3.5.0
lmtest,3.5.0
loo,3.5.0
lubridate,3.5.0
magrittr,3.5.0
maptools,3.5.0
markdown,3.5.0
Matching,3.5.0
matchMulti,3.5.0
MatrixModels,3.5.0
matrixStats,3.5.0
maxstat,3.5.0
memoise,3.5.0
mice,3.5.0
mime,3.5.0
miniUI,3.5.0
minqa,3.5.0
mitml,3.5.2
mnormt,3.5.0
modelr,3.5.0
modeltools,3.5.0
mosaic,3.5.2
mosaicCore,3.5.0
mosaicData,3.5.0
multcomp,3.5.0
munsell,3.5.0
mvtnorm,3.5.0
NHANES,3.5.0
nleqslv,3.5.0
nloptr,3.5.0
numDeriv,3.5.0
OIsurv,3.5.0
openssl,3.5.0
openxlsx,3.5.0
optmatch,3.5.0
ordinal,3.5.0
packrat,3.5.0
pan,3.5.0
pander,3.5.0
pbapply,3.5.0
pbkrtest,3.5.0
pillar,3.5.0
pkgbuild,3.5.0
pkgconfig,3.5.0
pkgload,3.5.0
PKI,3.5.0
plogr,3.5.0
pls,3.5.0
plyr,3.5.0
png,3.5.0
polspline,3.5.0
polynom,3.5.0
praise,3.5.0
prettyunits,3.5.0
pROC,3.5.0
processx,3.5.0
progress,3.5.0
promises,3.5.0
ps,3.5.1
pscl,3.5.0
psych,3.5.2
purrr,3.5.0
pwr,3.5.0
qcc,3.5.0
QuantPsyc,3.5.0
quantreg,3.5.0
questionr,3.5.0
R6,3.5.0
raster,3.5.0
rcbsubset,3.5.0
rcmdcheck,3.5.0
RColorBrewer,3.5.0
Rcpp,3.5.0
RcppArmadillo,3.5.0
RcppEigen,3.5.0
RCurl,3.5.0
readr,3.5.1
readxl,3.5.0
rematch,3.5.0
rematch2,3.5.0
remotes,3.5.0
reprex,3.5.0
reshape,3.5.0
reshape2,3.5.0
ResourceSelection,3.5.2
rio,3.5.0
RItools,3.5.0
RJSONIO,3.5.0
rlang,3.5.2
rmarkdown,3.5.0
rmdformats,3.5.2
rms,3.5.0
robustbase,3.5.0
ROCR,3.5.0
rprojroot,3.5.0
rsconnect,3.5.2
rstan,3.5.0
rstanarm,3.5.0
rstantools,3.5.0
rstudioapi,3.5.2
rvest,3.5.0
sandwich,3.5.0
scales,3.5.0
selectr,3.5.0
sessioninfo,3.5.0
shiny,3.5.0
shinyjs,3.5.0
shinystan,3.5.0
shinythemes,3.5.0
simputation,3.5.0
skimr,3.5.2
sourcetools,3.5.0
sp,3.5.0
SparseM,3.5.0
spData,3.5.2
StanHeaders,3.5.0
stringi,3.5.0
stringr,3.5.0
styler,3.5.0
survey,3.5.0
survminer,3.5.0
survMisc,3.5.0
svd,3.5.0
tableone,3.5.0
testthat,3.5.0
TH.data,3.5.0
threejs,3.5.0
tibble,3.5.2
tidyr,3.5.0
tidyselect,3.5.0
tidyverse,3.5.0
tinytex,3.5.2
ucminf,3.5.0
usethis,3.5.0
utf8,3.5.0
vcd,3.5.0
VGAM,3.5.0
viridis,3.5.0
viridisLite,3.5.0
weights,3.5.0
whisker,3.5.0
withr,3.5.0
xfun,3.5.0
xml2,3.5.0
xopen,3.5.0
xtable,3.5.0
xts,3.5.0
yaml,3.5.0
zip,3.5.0
zoo,3.5.0
